experience,zone 1,zone 2,zone 3
y < 2,2997.20,2939.00,2909.90
2 ≤ y < 4,3402.84,3336.76,3303.73
4 ≤ y < 7,4034.61,3963.24,3924.00
7 ≤ y < 10,4406.79,4321.22,4278.44
10 ≤ y < 15,4589.33,4500.22,4455.66
15 ≤ y < 20,4807.36,4714.01,4667.34
y ≥ 20,5060.88,4962.61,4913.48
