experience,zone 1,zone 2,zone 3
y < 2 (min),3081.33,3021.50,2991.58
y < 2 (max),3519.85,3451.51,3417.33
2 ≤ y < 7,4291.70,4208.37,4166.70
7 ≤ y < 10,4476.02,4389.11,4345.65
10 ≤ y < 15,4653.50,4563.14,4517.96
15 ≤ y < 20,4739.83,4647.80,4601.78
y ≥ 20,4756.76,4664.39,4618.21
