Experience y,Brut salary (€) zone 1,Brut salary (€) zone 2, Brut salary (€) zone 3,Brut salary (€) zone 3
 y < 2 (min),2728.26,2675.28,2992.93,2648.79
 y < 2 (max),3145.68,3084.6,3431.46,3054.06
 2 ≤ y < 7,3881.29,3805.92,4204.22,3768.24
 7 ≤ y < 10,4056.74,3977.97,4388.55,3938.59
 10 ≤ y < 15,4225.68,4143.63,4566.02,4102.61
 15 ≤ y < 20,4307.86,4224.21,4652.35,4182.39
 y ≥ 20,4323.97,4240.01,4669.28,4198.03
