Experience (y),Brut salary (€) zone 1,Brut salary (€) zone 2,Brut salary (€) zone 3
y < 2,2952.91,2895.57,2866.90
2 ≤ y < 4,3352.55,3287.45,3254.90
4 ≤ y < 7,3974.99,3904.67,3866.01
7 ≤ y < 10,4341.67,4257.36,4215.21
10 ≤ y < 15,4521.51,4433.71,4389.81
15 ≤ y < 20,4736.31,4644.35,4598.36
y ≥ 20,4986.09,4889.27,4840.87
