Experience y,Brut salary (€) zone 1,Brut salary (€) zone 2, Brut salary (€) zone 3,Brut salary (€) zone 3
 y < 2 (min),2932.85,2875.9,2992.93,2847.43
 y < 2 (max),3371.38,3305.91,3431.46,3273.18
 2 ≤ y < 7,4144.14,4063.67,4204.22,4023.44
 7 ≤ y < 10,4328.47,4244.42,4388.55,4202.39
 10 ≤ y < 15,4505.94,4418.45,4566.02,4374.7
 15 ≤ y < 20,4592.28,4503.1,4652.35,4458.52
 y ≥ 20,4609.2,4519.7,4669.28,4474.95
