Experience (y),Brut salary (€) zone 1,Brut salary (€) zone 2,Brut salary (€) zone 3
y < 2,2712.58,2659.90,2633.57
2 ≤ y < 4,3112.22,3051.79,3021.57
4 ≤ y < 7,3741.66,3669.00,3632.67
7 ≤ y < 10,4101.33,4021.70,3981.88
10 ≤ y < 15,4281.17,4198.04,4156.48
15 ≤ y < 20,4495.98,4408.68,4365.03
y ≥ 20,4745.76,4653.61,4607.53
