Experience y,Brut salary (€) zone 1,Brut salary (€) zone 2,Brut salary (€) zone 3
 y < 2 (min),2992.93, 2992.93, 2992.93
 y < 2 (max),3431.46, 3431.46, 3431.46
 2 ≤ y < 7,4204.22, 4204.22, 4204.22
 7 ≤ y < 10,4388.55, 4388.55, 4388.55
 10 ≤ y < 15,4566.02, 4566.02, 4566.02
 15 ≤ y < 20,4652.35, 4652.35, 4652.35
 y ≥ 20,4669.28, 4669.28, 4669.28
