Experience y,Brut salary (€) zone 1,Brut salary (€) zone 2, Brut salary (€) zone 3,Brut salary (€) zone 3
 y < 2 (min),2839.73,2784.59,2992.93,2757.02
 y < 2 (max),3271.77,3208.24,3431.46,3176.48
 2 ≤ y < 7,4033.12,3954.81,4204.22,3915.65
 7 ≤ y < 10,4214.72,4132.88,4388.55,4091.96
 10 ≤ y < 15,4389.57,4304.34,4566.02,4261.72
 15 ≤ y < 20,4474.63,4387.74,4652.35,4344.3
 y ≥ 20,4491.3,4404.09,4669.28,4360.49
