experience,zone 1,zone 2,zone 3
y < 2 (min),2728.26,2675.28,2648.79
y < 2 (max),3145.68,3084.60,3054.06
2 ≤ y < 7,3881.29,3805.92,3768.24
7 ≤ y < 10,4056.74,3977.97,3938.59
10 ≤ y < 15,4225.68,4143.63,4102.61
15 ≤ y < 20,4307.86,4224.21,4182.39
y ≥ 20,4323.97,4240.01,4198.03
