experience,zone 1,zone 2,zone 3
y < 2 (min),2889.51,2833.40,2805.35
y < 2 (max),3321.55,3257.06,3224.81
2 ≤ y < 7,4082.90,4003.62,3963.98
7 ≤ y < 10,4264.50,4181.69,4140.29
10 ≤ y < 15,4439.35,4353.15,4310.05
15 ≤ y < 20,4524.41,4436.56,4392.63
y ≥ 20,4541.08,4452.91,4408.82
