experience,zone 1,zone 2,zone 3
y < 2 (min),2743.70,2690.43,2663.79
y < 2 (max),3161.13,3099.75,3069.06
2 ≤ y < 7,3896.74,3821.07,3783.24
7 ≤ y < 10,4072.19,3993.12,3953.59
10 ≤ y < 15,4241.13,4158.78,4117.61
15 ≤ y < 20,4323.31,4239.36,4197.39
y ≥ 20,4339.42,4255.16,4213.03
