experience,zone 1,zone 2,zone 3
y < 2 (min),2695.56,2643.22,2617.05
y < 2 (max),3107.82,3047.48,3017.31
2 ≤ y < 7,3841.41,3766.82,3729.53
7 ≤ y < 10,4019.31,3941.27,3902.25
10 ≤ y < 15,4190.74,4109.36,4068.68
15 ≤ y < 20,4275.13,4192.12,4150.62
y ≥ 20,4291.12,4207.80,4166.14
